Year,Sex,AgeGroup,OffenceDivision,VictimReports
2015,People,20-29,B Property and deception offences,35348
2015,People,20-29,C Other offences,63
2015,People,30-39,A Crimes against the person,11002
2015,People,30-39,B Property and deception offences,33726
2015,People,30-39,C Other offences,50
2015,People,40-49,A Crimes against the person,8875
2015,People,40-49,B Property and deception offences,29777
2015,People,40-49,C Other offences,54
2015,People,50-59,A Crimes against the person,4665
2015,People,50-59,B Property and deception offences,22000
2015,People,50-59,C Other offences,37
2015,People,60-69,A Crimes against the person,1857
2015,People,60-69,B Property and deception offences,12953
2015,People,60-69,C Other offences,22
2015,People,70+,A Crimes against the person,753
2015,People,70+,B Property and deception offences,7420
2015,People,70+,C Other offences,12
2014,Females,00-19,A Crimes against the person,6194
2014,Females,00-19,B Property and deception offences,2765
2014,Females,00-19,C Other offences,13
2014,Females,20-29,A Crimes against the person,7449
2014,Females,20-29,B Property and deception offences,15367
2014,Females,20-29,C Other offences,33
2014,Females,30-39,A Crimes against the person,5881
2014,Females,30-39,B Property and deception offences,13593
2014,Females,30-39,C Other offences,39
2014,Females,40-49,A Crimes against the person,4638
2014,Females,40-49,B Property and deception offences,12819
2014,Females,40-49,C Other offences,30
2014,Females,50-59,A Crimes against the person,2054
2014,Females,50-59,B Property and deception offences,8746
2014,Females,50-59,C Other offences,20
2014,Females,60-69,A Crimes against the person,706
2014,Females,60-69,B Property and deception offences,4683
2014,Females,60-69,C Other offences,4
2014,Females,70+,A Crimes against the person,339
2014,Females,70+,B Property and deception offences,3158
2014,Females,70+,C Other offences,11
2014,Males,00-19,A Crimes against the person,4839
2014,Males,00-19,B Property and deception offences,3356
2014,Males,00-19,C Other offences,18
2014,Males,20-29,A Crimes against the person,6404
2014,Males,20-29,B Property and deception offences,19885
2014,Males,20-29,C Other offences,31
2014,Males,30-39,A Crimes against the person,4828
2014,Males,30-39,B Property and deception offences,19306
2014,Males,30-39,C Other offences,35
2014,Males,40-49,A Crimes against the person,4097
2014,Males,40-49,B Property and deception offences,17186
2014,Males,40-49,C Other offences,37
2014,Males,50-59,A Crimes against the person,2357
2014,Males,50-59,B Property and deception offences,13108
2014,Males,50-59,C Other offences,17
2014,Males,60-69,A Crimes against the person,900
2014,Males,60-69,B Property and deception offences,7957
2014,Males,60-69,C Other offences,15
2014,Males,70+,A Crimes against the person,341
2014,Males,70+,B Property and deception offences,4042
2014,Males,70+,C Other offences,5
2014,People,00-19,A Crimes against the person,11039
2014,People,00-19,B Property and deception offences,6121
2014,People,00-19,C Other offences,31
2014,People,20-29,A Crimes against the person,13855
2014,People,20-29,B Property and deception offences,35262
2014,People,20-29,C Other offences,64
2014,People,30-39,A Crimes against the person,10711
2014,People,30-39,B Property and deception offences,32905
2014,People,30-39,C Other offences,74
2014,People,40-49,A Crimes against the person,8735
2014,People,40-49,B Property and deception offences,30006
2014,People,40-49,C Other offences,67
2014,People,50-59,A Crimes against the person,4411
2014,People,50-59,B Property and deception offences,21856
2014,People,50-59,C Other offences,37
2014,People,60-69,A Crimes against the person,1606
2014,People,60-69,B Property and deception offences,12640
2014,People,60-69,C Other offences,19
2014,People,70+,A Crimes against the person,680
2014,People,70+,B Property and deception offences,7201
2014,People,70+,C Other offences,16
2013,Females,00-19,A Crimes against the person,6175
2013,Females,00-19,B Property and deception offences,3125
2013,Females,00-19,C Other offences,15
2013,Females,20-29,A Crimes against the person,7306
2013,Females,20-29,B Property and deception offences,15438
2013,Females,20-29,C Other offences,33
2013,Females,30-39,A Crimes against the person,5734
2013,Females,30-39,B Property and deception offences,13335
2013,Females,30-39,C Other offences,30
2013,Females,40-49,A Crimes against the person,4273
2013,Females,40-49,B Property and deception offences,12175
2013,Females,40-49,C Other offences,20
2013,Females,50-59,A Crimes against the person,1862
2013,Females,50-59,B Property and deception offences,8122
2013,Females,50-59,C Other offences,17
2013,Females,60-69,A Crimes against the person,634
2013,Females,60-69,B Property and deception offences,4428
2013,Females,60-69,C Other offences,6
2013,Females,70+,A Crimes against the person,334
2013,Females,70+,B Property and deception offences,3050
2013,Females,70+,C Other offences,8
2013,Males,00-19,A Crimes against the person,5023
2013,Males,00-19,B Property and deception offences,3600
2013,Males,00-19,C Other offences,5
2013,Males,20-29,A Crimes against the person,6699
2013,Males,20-29,B Property and deception offences,19173
2013,Males,20-29,C Other offences,26
2013,Males,30-39,A Crimes against the person,4871
2013,Males,30-39,B Property and deception offences,18247
2013,Males,30-39,C Other offences,24
2013,Males,40-49,A Crimes against the person,4035
2013,Males,40-49,B Property and deception offences,16739
2013,Males,40-49,C Other offences,32
2013,Males,50-59,A Crimes against the person,2193
2013,Males,50-59,B Property and deception offences,12655
