Year,PoliceRegion,LocalGovernmentArea,Victim Reports,"Rateper100,000population"
2017,2 Eastern,STRATHBOGIE,270,2575.352919
2017,2 Eastern,TOWONG,107,1771.816526
2017,2 Eastern,WANGARATTA,825,2859.321388
2017,2 Eastern,WELLINGTON,1750,3995.342572
2017,2 Eastern,WHITEHORSE,4496,2594.899084
2017,2 Eastern,WODONGA,1387,3398.510242
2017,2 Eastern,YARRA RANGES,3313,2111.953286
2017,3 Southern Metro,BAYSIDE,2774,2660.094743
2017,3 Southern Metro,CARDINIA,2948,2878.82191
2017,3 Southern Metro,CASEY,10688,3270.792084
2017,3 Southern Metro,FRANKSTON,5970,4242.527608
2017,3 Southern Metro,GLEN EIRA,4004,2643.654635
2017,3 Southern Metro,GREATER DANDENONG,8146,4981.714551
2017,3 Southern Metro,KINGSTON,4466,2773.034629
2017,3 Southern Metro,MORNINGTON PENINSULA,4910,2996.935923
2017,3 Southern Metro,PORT PHILLIP,6889,6225.600058
2017,3 Southern Metro,STONNINGTON,5246,4610.976339
2017,4 Western,ARARAT,457,3887.376659
2017,4 Western,BALLARAT,5720,5425.812449
2017,4 Western,BULOKE,93,1498.791297
2017,4 Western,CAMPASPE,1380,3670.505625
2017,4 Western,CENTRAL GOLDFIELDS,476,3620.322483
2017,4 Western,COLAC-OTWAY,928,4330.377975
2017,4 Western,CORANGAMITE,438,2702.03578
2017,4 Western,GANNAWARRA,247,2337.02337
2017,4 Western,GLENELG,743,3773.10583
2017,4 Western,GOLDEN PLAINS,344,1524.282169
2017,4 Western,GREATER BENDIGO,3790,3321.909704
2017,4 Western,GREATER GEELONG,10165,4136.68772
2017,4 Western,HEPBURN,439,2808.880926
2017,4 Western,HINDMARSH,175,3060.510668
2017,4 Western,HORSHAM,936,4707.065627
2017,4 Western,LODDON,211,2810.710004
2017,4 Western,MACEDON RANGES,878,1813.225393
2017,4 Western,MILDURA,2807,5090.493635
2017,4 Western,MOORABOOL,1083,3238.442677
2017,4 Western,MOUNT ALEXANDER,423,2192.050578
2017,4 Western,MOYNE,334,1988.923956
2017,4 Western,NORTHERN GRAMPIANS,451,3915.950334
2017,4 Western,PYRENEES,265,3601.522153
2017,4 Western,QUEENSCLIFFE,94,3176.748902
2017,4 Western,SOUTHERN GRAMPIANS,417,2586.367301
2017,4 Western,SURF COAST,792,2526.557565
2017,4 Western,SWAN HILL,866,4154.074927
2017,4 Western,WARRNAMBOOL,1387,4012.265324
2017,4 Western,WEST WIMMERA,74,1900.359527
2017,4 Western,YARRIAMBIACK,225,3366.247756
2016,1 North West Metro,BANYULE,4468,3505.771026
2016,1 North West Metro,BRIMBANK,9274,4541.848279
2016,1 North West Metro,DAREBIN,7707,4968.219383
2016,1 North West Metro,HOBSONS BAY,3227,3453.368292
2016,1 North West Metro,HUME,9634,4653.184635
2016,1 North West Metro,MARIBYRNONG,4502,5178.164754
2016,1 North West Metro,MELBOURNE,12764,8736.72106
2016,1 North West Metro,MELTON,5472,3869.325414
2016,1 North West Metro,MOONEE VALLEY,4905,3991.991601
2016,1 North West Metro,MORELAND,8163,4737.831846
2016,1 North West Metro,NILLUMBIK,1302,2028.859039
2016,1 North West Metro,WHITTLESEA,7517,3630.383757
2016,1 North West Metro,WYNDHAM,7152,3150.54976
2016,1 North West Metro,YARRA,6565,7067.194867
2016,2 Eastern,ALPINE,165,1311.814279
2016,2 Eastern,BASS COAST,1277,3816.041119
2016,2 Eastern,BAW BAW,1452,2945.472249
2016,2 Eastern,BENALLA,578,4133.886425
2016,2 Eastern,BOROONDARA,4506,2541.799228
2016,2 Eastern,EAST GIPPSLAND,1895,4155.701754
2016,2 Eastern,GREATER SHEPPARTON,3065,4710.167199
2016,2 Eastern,INDIGO,201,1243.427157
2016,2 Eastern,KNOX,4675,2915.442804
2016,2 Eastern,LATROBE,5435,7283.374876
2016,2 Eastern,MANNINGHAM,2268,1850.371216
2016,2 Eastern,MANSFIELD,206,2374.913535
2016,2 Eastern,MAROONDAH,3175,2765.679443
2016,2 Eastern,MITCHELL,1777,4251.704749
2016,2 Eastern,MOIRA,653,2214.610324
2016,2 Eastern,MONASH,5443,2825.697599
2016,2 Eastern,MURRINDINDI,335,2384.002277
2016,2 Eastern,SOUTH GIPPSLAND,576,1977.886134
2016,2 Eastern,STRATHBOGIE,237,2288.307425
2016,2 Eastern,TOWONG,118,1951.703606
2016,2 Eastern,WANGARATTA,866,3028.81925
2016,2 Eastern,WELLINGTON,1858,4268.320698
2016,2 Eastern,WHITEHORSE,3514,2071.433203
2016,2 Eastern,WODONGA,1468,3660.84788
2016,2 Eastern,YARRA RANGES,3367,2169.095384
2016,3 Southern Metro,BAYSIDE,2829,2748.95056
2016,3 Southern Metro,CARDINIA,2966,3039.775348
2016,3 Southern Metro,CASEY,10015,3201.838939
2016,3 Southern Metro,FRANKSTON,6205,4447.964904
2016,3 Southern Metro,GLEN EIRA,3745,2520.476771
2016,3 Southern Metro,GREATER DANDENONG,7774,4852.017825
2016,3 Southern Metro,KINGSTON,4676,2941.972178
2016,3 Southern Metro,MORNINGTON PENINSULA,5043,3122.059333
2016,3 Southern Metro,PORT PHILLIP,6957,6404.485073
2016,3 Southern Metro,STONNINGTON,5478,4935.001757
2016,4 Western,ARARAT,497,4231.58791
2016,4 Western,BALLARAT,5778,5582.608696
2016,4 Western,BULOKE,117,1861.871419
2016,4 Western,CAMPASPE,1339,3561.643836
2016,4 Western,CENTRAL GOLDFIELDS,514,3927.561702
2016,4 Western,COLAC-OTWAY,719,3365.78972
2016,4 Western,CORANGAMITE,364,2240.965339
2016,4 Western,GANNAWARRA,233,2204.977761
2016,4 Western,GLENELG,776,3927.324257
2016,4 Western,GOLDEN PLAINS,452,2053.052326
2016,4 Western,GREATER BENDIGO,3644,3245.833593
2016,4 Western,GREATER GEELONG,10699,4466.682531
2016,4 Western,HEPBURN,457,2943.639291
2016,4 Western,HINDMARSH,123,2126.556017
2016,4 Western,HORSHAM,959,4822.973245
2016,4 Western,LODDON,229,3029.902091
2016,4 Western,MACEDON RANGES,852,1794.439764
2016,4 Western,MILDURA,2845,5205.09349
